X1,Goods2011,Goods2012,Goods2013,Goods2014,Goods2015,Service2011,Service2012,Service2013,Service2014,Service2015,Goods2016,Service2016
ECE,0,0,0,0,0,0,0,0,0,0,0,0
ECLAC,2831151.09389,2066966.95712,3623135.07,1398727.08,1844120.2446,12192881.29686,4034280.12763733,4882764.57,4309346.92,6333919.3758,813692,4812879.08
ESCAP,4408012.299485,1772000,0,0,4821272.28,7114595.08,3891000,0,0,7740411.35,939948.54,6825326.97
ESCWA,1387630.5,3639921.94,1451522.11,874945.62,1678323.1188,1386792.62,1289703.602292,1145350.23,1485772.96,6290636.4389,1020216.2,3664074.28
FAO,78254781.2863638,39108246.4,136992911.33,182814718.84,160371604.77,56848690.2838716,47420801.89,183128899.74,167898030.57,183132035.08,158018524.3173,158984769.1353
IAEA,69015536.8009086,57350127.9939991,80621087.31,62810868.91,59963965.641,94105859.3797501,109395837.903987,129685756.05,117249835.39,80476034.571,49450169.3368,97859203.7332
ICAO,0,0,0,0,0,0,0,0,0,0,0,0
ICTR,0,0,0,0,0,0,0,0,0,0,0,0
ICTY,0,0,0,0,0,0,0,0,0,0,0,0
IFAD,1164035.9,1190277.51226654,2275402.99,1031741.97,4589968.2246,46390245.17,44444121.6739966,43317768.07,42147782.53,28020481.8789,2693958.69,44442246.82
ILO,14284151.4802228,8226529.54875346,10815592.51,8424063.53,14044818.9295,79206986.4160426,108163131.829699,130666624.3,139639213.36,356313583.7005,4251783.37,158426048.0396
IMF,0,0,0,79248469,0,0,0,0,213992207,0,0,0
IMO,0,0,0,4475281.02,6093027.0127,0,0,0,11697287.69,10015982.5745,2842453.9591,12548682.7596
IOM,0,0,0,0,0,0,0,0,0,0,202537124.58,319951662.76
ITC,1018085,602515.244,1855598.85,1766407.03,2201178.9499,11926449.3854754,11223369.9485589,10834805.14,13106883.67,13202115.7732,1269922.1,8019428.6121
ITU,0,4033901.88673766,4714722.85,4265240.63,3309813.4144,0,27407629.624395,49871205.57,44587813.97,30707183.0909,5424640.9424,42210616.2679
OPCW,2683464.18238015,2464918.2148,4628424.81,5171813.72,667203.5123,6298562.30536948,8416599.4748,16763201.96,23300362.94,45162858.8612,4053930.5189,43007215.3347
PAHO,593239886.2,625024501.66,557213974.25,664626578.760001,626113874.64,13431401,9881705.3,27771639.66,43952220.13,42150759.09,677512262.64,112162061.9
UN Secretariat,0,0,0,0,0,0,0,0,0,0,1301515394.7,1931699375.97
UN WOMEN,0,6971616.57,7324516.93,8229700.56999999,20159393.09,0,70224227.15,69003782.0600001,82069657.0599998,88492299.04,0,0
UN-ICTY/MICT,0,0,0,0,0,0,0,0,0,0,1982758.1,11461149.85
UN-Women,0,0,0,0,0,0,0,0,0,0,18281158.18,107656222.44
UN/DPKO,0,0,0,0,0,0,0,0,0,0,0,0
UNAIDS,0,0,5044358.18,3093826.37,2150325.2109,0,0,33172429.32,35305120.01,39135831.2465,1211857.5744,32810581.41
UNAKRT,0,0,0,0,0,0,0,0,0,0,523370.27,1329029.32
UNCTAD,0,0,0,0,0,0,0,0,0,0,0,0
UNDP,652041600,761676310,811167691.470001,482329389.93,832963913.0029,2039931420,2412239790,1817717706.19,1803157559.98,1903845471.4268,576277777.482,1121188270.7149
UNDP/IAPSO,0,0,0,0,0,0,0,0,0,0,0,0
UNECA,17240208.9,12588601.14,9498321.27,6449516.62,9281857.1634,5387132.06,5260486.77,2275580.68,5428161.51,2703055.0921,3022734.77,10178583.73
UNESCO,23909587.93,11140777.87,12773916.42,11704538.2,21222157.33,121033517.29,109920179.2,92623504.36,111577955.06,113292852.46,16835683.52,106003736.66
UNFCCC,0,0,0,242513.42,573198.3655,0,0,0,15800111.17,16288038.6277,510937.0768,6861568.6968
UNFPA,148838437.14,215364934.84,216886523.96,205937285.93,197036489,213516933.081,119852230.27,148979957.33,151186490.58,146315715.206,155622408.54,126334744.172
UNHCR,264706198.191,284424895.96,533819067.18,505526585.11,441384936.77,270396832.43,277645247.6,418815573.64,539214056.659999,540217364.26,562627684.64,617132989.4
UNICEF,2153573827.91,1870144555.23,2251686478,2584089904.57,2707830007.3698,0,587016120.11,489332615,798045642.099976,720306350.8897,2630479605.7997,854713386.0096
UNIDO,47772565,35930040.8,19819418.3,56270075.9,19185305.36,38239521,91351411.05,65536907.46,46038974.61,79175906.95,18567692.7703,104768709.3877
UNOG,24008994,11648682.75432,19827454.51,13405844.06,17454540.7173,86208955,76021236.7082999,89057235.2100001,81911871.68,96377313.8648,15147125.96,78878239.84
UNON,24325509.376541,15365798.19,11434166.5,11458117.55,10929904.24,82756807.003066,28089844.01,65220104.77,21461750.73,34987255.1,6423393.07,22185554.41
UNOPS,318290206.04,247130429.249,250228413.15,229571900.71,244454891.4778,459962068.11,492589623.471,499103246.67,439462839.339999,472545459.0212,321858860.5801,578319685.7204
UNOV,5149400.08,4362494.36,7944875.11,3928033.58,5214227.1211,9613088.78,6159277.55,11890428.28,6912421.5,8199006.081,19983158.68,46289898.57
UNPD,1073845141.73777,1044293038.73537,1123311649.6,1503609738.55001,1468311984.1419,2099900991.65915,1827434688.68344,1873769672.65,1703552826.5,1620689698.5128,0,0
UNRWA,141185461.874,140934662.980304,167356701.68,187619758.2,167992283.3475,140789334.468,151219396.61763,122166833.5,91127942.9399999,155963925.2491,143236519.48,145324344.85
UNU,23032,22202.12173168,967373.08,2104390.54,2587809.1787,1102323,1160407.9211316,8602598.58,6852837.76,7533951.519,717968.67,6644976.13
UNV,900539,166038.1,492389.91,371859.53,397574.28,15104433,13130654.77,12864295.55,15745227.57,12944034.5635,1367770.31,6978867.7
UNWTO,431409.28,112008.246892413,174411.81,328489.84,189452.925,3530702.71,4614143.89198457,3297196.88,4554634.73,2489880.186,253899.3969,2860269.4178
UPU,941525.302922309,687777.92836397,2988801.62,0,791275.8911,0,0,0,0,21999956.8792,1335028.4593,20617616.2971
WFP,1395076519.99,1263143129.01,1160831060,1511331873.99,1302892341.12,1137264156.32,1220840107.755,1315726529,1241524626.36001,1326660924.99,1605301360.47,1356602338.24
WHO,0,135092577,210420865.29,171532610.03,253124161.3273,0,554500000,561425321.72,537138009.149999,628161721.72,187832517.9858,569107383.0437
WIPO,0,0,5085970.42,2977791.91,5046409.6094,146123936.878118,127093920.362343,145863557.359994,143664670.82,97766259.752,2951206.2078,111361358.3232
WMO,5012923,943722.77,499746.49,5675034.15,3185887.9411,10711476,12545263.15,5144399.51,7685615.24,9600176.6273,4227038.2551,13383988.045
