Country,Goods2009,Service2009,Total2009,Goods2010,Services2010,Total2010,Goods2011,Services2011,Total2011,Goods2012,Services2012,Total2012,Goods2013,Services2013,Total2013,Goods2014,Services2014,Total2014,Goods2015,Services2015,Total2015,Goods2016,Services2016,Total2016
Afghanistan,63459.8649118001,372507.050788,435966.9156998,65045.3892245821,604162.672804535,669208.062029117,66773.384176,470527.12549901,537300.50967501,54627.1112096,637905.262506264,692532.373715864,50485.15573,650375.78766,700860.94339,82110.76339,706606.23931,788717.0027,47816.7705838,580214.9683973,628031.7389811,60798.8479604,128360.7378363,189159.5857967
Albania,1128.51537,5837.84758482015,6966.36295482015,1733.56353110617,5871.99817415571,7605.56170526188,1307.44356417726,6371.60931228463,7679.05287646189,1042.55331907804,13268.2712343288,14310.8245534068,651.86235,5024.85688,5676.71923,349.60809,5419.32315,5768.93124,1292.2921111,14692.3602065,15984.6523176,5959.4613643,6793.4561133,12752.9174776
Algeria,3785.303521,6418.244776,10203.548297,4820.85015555555,5911.349794,10732.1999495556,4338.56968,6210.28398548338,10548.8536654834,5288.01106,6993.80112532054,12281.8121853205,6202.59488,8903.93319,15106.52807,5585.26093,6454.41022,12039.67115,6567.8745234,6955.9355513,13523.8100747,9352.0832954,8275.8360047,17627.9193001
Andorra,0,0,0,56.2752227,7.47270519496005,63.7479278949601,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35839,2.35839,0,90,90
Angola,5866.21525,19224.62415,25090.8394,3000.7395858784,10221.1986427251,13221.9382286035,2401.51485,3615.38717,6016.90202,1849.07086,5011.93467707244,6861.00553707244,6952.60292,6511.05057,13463.65349,1573.61156,6483.35074,8056.9623,1363.0456218,4579.890767,5942.9363888,1778.5946436,7453.4873687,9232.0820123
Antigua and Barbuda,-30.28,603.57824,573.29824,42.09899,451.57077,493.66976,9.61282,676.96278,686.5756,25.36483,660.78119,686.14602,90.7266,504.82432,595.55092,19.08656,627.19034,646.2769,10.83,317.12461,327.95461,81.3627833,44.5825152,125.9452985
Argentina,86587.754718,84049.212950632,170636.967668632,248051.95058,96436.5496612238,344488.500241224,206061.010543202,159748.646803122,365809.657346324,145454.772030484,181585.299181468,327040.071211953,117755.52353,160082.42326,277837.94679,45583.68127,78072.87656,123656.55783,108362.6346911,72021.0867143,180383.7214054,4642.872267,16311.3263441,20954.1986111
Armenia,1489.69395555555,3877.04486289902,5366.73881845458,2163.68634747918,4275.90961332219,6439.59596080137,1897.10296713637,3970.23086428279,5867.33383141915,1638.89443,4048.62118744535,5687.51561744535,3858.64924,6118.38622,9977.03546,1462.35733,17020.74324,18483.10057,1909.0753643,7114.8105193,9023.8858836,485.5087123,5154.6905622,5640.1992745
Australia,36470.9694831462,38073.4502807798,74544.419763926,50706.1450950307,22573.8015186651,73279.9466136958,97015.2312282025,13097.9703338875,110113.20156209,60818.3084834231,17875.9069474525,78694.2154308757,78104.53882,23765.50842,101870.04724,89224.09527,29404.98681,118629.08208,92573.270093,25604.1505595,118177.4206525,15855.3741378,26933.3446842,42788.718822
Austria,39864.4144911581,66892.2650787882,106756.679569946,40457.5360680014,37394.2495902405,77851.785658242,44279.8570685647,64829.4774886999,109109.334557265,49269.8504784083,89451.1541069156,138721.004585324,56178.2606,80725.2671599998,136903.52776,52767.57679,68163.12077,120930.69756,45026.5063269,41011.2574057,86037.7637326,51062.4052446,78318.7856433,129381.1908879
Azerbaijan,3125.1966,5859.49145,8984.68805,3338.15477078582,5647.893724,8986.04849478582,3729.70353,5468.0516275945,9197.7551575945,3031.52492,10012.52739,13044.05231,1395.92686,6072.05396,7467.98082,5945.48955,7709.89692,13655.38647,3059.6876886,7954.0793373,11013.7670259,430.8709455,7953.1935846,8384.0645301
Bahamas,10.76,689.04,699.8,6.52,459.83832,466.35832,242.81291,288.17698,530.98989,3.12219,56.2121,59.33429,7.91433,111.71066,119.62499,4.81,42.79678,47.60678,5.345,41.81275,47.15775,28.17822,220.10885,248.28707
Bahrain,320.08932,1082.82891,1402.91823,484.3928,999.99437,1484.38717,90.56863,817.771933,908.340563,216.20237,578.543281017119,794.745651017119,87.92308,682.23496,770.15804,45.76863,1350.13214,1395.90077,134.8380878,3176.9082684,3311.7463562,20.27852,4589.0429001,4609.3214201
Bangladesh,38965.3884,35884.208885566,74849.597285566,30610.3764207158,46495.1911212605,77105.5675419763,33558.85308,42420.374758699,75979.227838699,18767.91059,44721.6259099531,63489.5364999531,32422.17236,50527.42927,82949.60163,20326.99637,47379.56706,67706.56343,15923.8619734,39644.911589,55568.7735624,11896.1016712,30599.5435321,42495.6452033
Barbados,1963.14566,769.88066,2733.02632,1309.67047,945.760463060535,2255.43093306054,1812.85662,1279.44075654732,3092.29737654732,580.5007,2592.8467,3173.3474,869.51874,3247.98083,4117.49957,314.90007,2190.2871,2505.18717,276.8247031,2329.0530928,2605.8777959,628.9458209,2906.4062906,3535.3521115
Belarus,5521.14270304939,6242.80162967828,11763.9443327277,4228.76928768806,7088.52466,11317.2939476881,2226.33084,5570.66074641275,7796.99158641275,4888.68611,4887.49769123586,9776.18380123586,3336.26752,5261.12499,8597.39251000001,3018.14085,5182.31513,8200.45598,3174.2034836,6612.016482,9786.2199656,906.9134718,4474.2626766,5381.1761484
Belgium,335478.094909687,52660.2027955853,388138.297705273,287523.180146782,37338.4529029273,324861.633049709,413459.767478088,41840.2746421099,455300.042120198,563358.444066997,46387.8014862294,609746.245553226,500207.40338,49915.67716,550123.08054,627902.97387,81474.73104,709377.70491,641095.0563262,67138.2221709,708233.2784971,833198.6766468,72767.4356358,905966.1122826
Belize,538.7953,1221.41713,1760.21243,694.95875,1630.67937,2325.63812,510.12051,1156.94242,1667.06293,315.91998,1715.75277,2031.67275,1243.61148,2125.71046,3369.32194,2473.5282,2045.93002,4519.45822,2710.8390816,2121.7341614,4832.573243,2157.5762664,1340.9114243,3498.4876907
Benin,6854.68947,11764.49123,18619.1807,18069.77292,21045.1596202566,39114.9325402566,7107.10219887384,26549.0260410632,33656.128239937,15771.2321,16805.1251910724,32576.3572910724,7930.20368,14641.93053,22572.13421,3877.97213,11386.32603,15264.29816,6188.9814323,14622.5328335,20811.5142658,12088.2429493,7214.1268087,19302.369758
Bhutan,2032.273053,1342.732043828,3375.005096828,1370.32760985373,1877.60883994483,3247.93644979856,1100.05303,1895.16374,2995.21677,1558.17908,2561.27661,4119.45569,715.65154,1134.09982,1849.75136,688.41585,1104.70677,1793.12262,1537.4334624,1329.9364311,2867.3698935,433.0442777,1195.8251872,1628.8694649
Bolivia (Plurinational State of),9757.879739,11564.482085,21322.361824,13324.32012,9030.80903169658,22355.1291516966,9098.00591,9864.66820000001,18962.67411,5486.23596676547,12360.5425281425,17846.778494908,4147.23794,7848.52494,11995.76288,6107.30794,7816.24063,13923.54857,2296.0645176,5512.9412275,7809.0057451,3359.6922721,7286.8102008,10646.5024729
Bosnia and Herzegovina,4606.58592703094,9989.32931609489,14595.9152431258,2854.65562677891,13772.9493637397,16627.6049905186,2930.22115,18084.8920987004,21015.1132487004,6668.27235124796,17774.876828913,24443.149180161,2933.77937,14468.04922,17401.82859,9349.40958999999,33168.18714,42517.59673,10115.2183631,58767.9734046,68883.1917677,3669.0195618,20105.5569845,23774.5765463
