Country,Goods2009,Service2009,Goods2010,Service2010,Goods2011,Service2011,Goods2012,Service2012,Goods2013,Service2013,Goods2014,Service2014,Goods2015,Service2015,Goods2016,Service2016
Afghanistan,4810.751462,49771.187158,3520.761693,83844.9452930001,4608.72286,75639.1623200001,0,96748.1356000004,3889.87723,115560.68288,8843.65132,100055.56892,2935.3930067,59348.7002823,5011.607787,26913.9020689
Albania,0.36519,60.91344,0,41.576775,13.61717,14.75902,4611.50395,8.6518,0,16.39411,0,11.08741,0,12.3281868,1.2059509,12.9072069
Algeria,0,33.413286,0,0.896,0,208.6164,0.3705,18.65658,0,2.91341,0,9.53004,0,12.0007579,0.13315,26.61669
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,5.695,3.601,15.55588,3.94,3.7,0,14.62,0,0.75,0,0,0,0,0,0
Antigua and Barbuda,0,214.35624,0,18.21437,0,58.96796,0,5.35821,0,0.61432,0.43035,7.9595,0,4.86447,0,1.2044703
Argentina,57409.8849280001,7932.368418,197958.63433,7374.696702,91828.47616,26448.23897,0,15388.57025,5220.93632,987.5762,1823.98803,2386.51945,427.0886171,355.0421543,26.3788262,545.2598257
Armenia,14.14835,94.4618,2.04534,65.66116,0.2822,16.46956,26827.49771,22.92064,2.84986,76.12696,6.40197,26.48242,4.0702224,20.1579993,3.8621631,6.0086649
Australia,228.344369,503.69944,240.363614,836.45516,777.11478,779.57534,11.26537,199.83021,295.5241,180.64133,565.28393,313.15671,1587.3919771,191.5599437,106.6846866,204.3244196
Austria,0,808.99873,0.71508,403.697443,32.45189,330.77913,388.0312,181.00937,490.08465,1.71823,451.95973,50.38735,7.6023815,32.6142902,295.7824063,236.4303186
Azerbaijan,0,26.6288,0,46.75906,3.56064,182.26983,141.34744,76.10019,17.06716,51.3166,0.94572,39.92337,0,29.4433421,0,21.6864098
Bahamas,2.32,581.63,0,335.10296,0,108.70704,10.31689,8.88,0,37.284,0,0,0,19.726,0,11.836
