u_code,descr
1e+07,Live plant and animal material
6.6e+07,Unspecified goods
9.9e+07,Unspecified services
1.1e+07,Mineral and textile materials
1.2e+07,Chemicals
1.3e+07,"Resin, rubber, elastomeric material"
1.4e+07,Paper materials and products
1.5e+07,Fuels and lubricants etc.
2e+07,Mining and well drilling equipment
2.1e+07,"Farming, fishing equipment"
2.2e+07,Building and construction machinery
2.3e+07,Industrial manufacturing machinery
2.4e+07,Material handling machinery
2.5e+07,Motor vehicles and parts
2.6e+07,Power generation machinery
2.7e+07,Tools and general machinery
3e+07,"Structures, construction components"
3.1e+07,Manufacturing components
3.2e+07,Electronic components
3.9e+07,Electrical systems components
4e+07,Distribution equipment
4.1e+07,Laboratory and testing equipment
4.2e+07,Medical equipment
4.3e+07,IT and communications equipment
4.4e+07,Office equipment
4.5e+07,"Printing, photo and AV equipment"
4.6e+07,Security and safety equipment
4.7e+07,Cleaning equipment
4.8e+07,Services industry equipment
4.9e+07,Sports and recreational equipment
5e+07,Food and beverage products
5.1e+07,"Pharmaceuticals, contraceptives, vaccines"
5.2e+07,Domestic appliances and electronics
5.3e+07,"Apparel, luggage and personal care"
5.4e+07,"Timepieces, jewelry and gemstones"
5.5e+07,Published products
5.6e+07,Furniture
6e+07,Musical instruments and arts and crafts
6.4e+07,Financial instruments products
7e+07,"Farming, fishing, forestry services"
7.1e+07,"Mining, oil and gas services"
7.2e+07,Building and maintenance services
7.3e+07,Industrial manufacturing services
7.6e+07,Industrial cleaning services
7.7e+07,Environmental services
7.8e+07,"Transportation, storage, mail services"
8e+07,Management and admin services
8.1e+07,Engineering and research services
8.2e+07,"Editorial, design, graphic services"
8.3e+07,Public sector related services
8.4e+07,Financial and insurance services
8.5e+07,Healthcare services
8.6e+07,Education and training services
9e+07,"Travel, food and lodging"
9.1e+07,Personal and domestic services
9.2e+07,Public order and security services
9.3e+07,Politics and civic affairs services
9.4e+07,Organizations and clubs
9.5e+07,"Land, building and structures"
